May 2018 SMD Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 1.  U.S. SUGAR SUPPLY AND USE, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)  1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
,,,,,,,,,,,,,,,
Beginning stocks,"1,875,992","2,374,424","3,272,654","4,098,621","4,486,609","4,701,759","4,799,932","4,705,977",0,0,0,0,"1,875,992",,
Total production:,"1,414,660","1,648,439","1,625,172","1,142,231","855,544","853,064","531,538","350,122",0,0,0,0,"8,420,771",,
  Beet,"756,071","724,935","703,363","652,515","507,420","462,201","363,198","278,304",0,0,0,0,"4,448,007",,
  Cane,"658,590","923,504","921,809","489,715","348,124","390,863","168,340","71,818",0,0,0,0,"3,972,764",,
Imports,"377,583","251,925","215,198","254,929","172,486","345,416","327,743","296,834",0,0,0,0,"2,242,114",,
Supply,"3,668,235","4,274,789","5,113,024","5,495,781","5,514,640","5,900,238","5,659,213","5,352,933",0,0,0,0,"12,538,876",,
Exports,"37,320","4,773","27,153","28,822","11,953","20,427","10,831","7,043",0,0,0,0,"148,323",,
Domestic deliveries:,"1,184,271","952,949","936,625","1,044,671","786,201","1,102,744","952,093","1,040,938",0,0,0,0,"8,000,493",,
  Non-human,"1,799","1,306","1,182","1,523","1,469","1,433","1,753","4,620",0,0,0,0,"15,085",,
  Products Re-export Program,"8,392","8,803","8,573","9,795","8,772","11,473","17,038","8,957",0,0,0,0,"81,803",,
  Human use:,"1,174,080","942,839","926,870","1,033,354","775,960","1,089,838","933,302","1,027,361",0,0,0,0,"7,903,604",,
    By beet processors,"517,843","470,786","383,427","411,794","411,530","449,553","415,306","427,159",0,0,0,0,"3,487,399",,
    By cane refiners/processors,"538,373","505,595","446,599","476,243","456,869","522,319","480,020","537,304",0,0,0,0,"3,963,322",,
    By non-reporters,"117,864","-33,541","96,845","145,316","-92,439","117,966","37,975","62,898",0,0,0,0,"452,883",,
Miscellaneous supply adjustment,"72,219","44,413","50,625","-64,322","14,727","-22,864","-9,688","-25,714",0,0,0,0,"59,394",,
Use,"1,293,811","1,002,134","1,014,403","1,009,172","812,881","1,100,306","953,236","1,022,267",0,0,0,0,"8,208,210",,
Total ending stocks,"2,374,424","3,272,654","4,098,621","4,486,609","4,701,759","4,799,932","4,705,977","4,330,666",0,0,0,0,"4,330,666",,
,,,,,,,,,,,,,,,
1/  Numbers may not add due to rounding.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
